Epoch,Training Loss,Validation Loss,Uas,Las
1,8.485033981199187,6.957552433013916,0.06897447892302094,0.023857788866365196
2,5.740686266725948,4.4163312911987305,0.1638338790997453,0.14460211029679299
3,3.9203287760416665,3.106017827987671,0.2760018711991268,0.2570819689173034
4,2.925677043635671,2.3622567653656006,0.4065699880451167,0.38718228598159987
5,2.2845531763423104,1.8429882526397705,0.5406206143770467,0.5223244451374811
6,1.8190719480436992,1.5448710918426514,0.5981599875253392,0.5783564634336504
7,1.4815473685742717,1.2567278146743774,0.693799054004886,0.6737356411455897
8,1.2240770128038194,1.1507261991500854,0.6979052965330839,0.6778938614273091
9,1.0392006147844681,0.9898484349250793,0.7510785383855709,0.7333541244347419
10,0.8968265192295478,0.8933470845222473,0.7886064764280888,0.7701023961744373
11,0.7675818466558689,0.8050734400749207,0.8139196423930558,0.7956754509070117
12,0.6611983549950246,0.7708048820495605,0.8179219294142107,0.8006133374915536
13,0.5865917671017531,0.802276074886322,0.816050730287437,0.8000935599563387
14,0.529482337517467,0.7744547724723816,0.8276937470762513,0.8106450439212017
15,0.46556240174828506,0.7422031760215759,0.8433910286397421,0.8259265034565206
16,0.411687504631394,0.7136369943618774,0.8581527106398461,0.8429232288580487
17,0.3671002478457402,0.6454256176948547,0.8841415874005926,0.8683403503300587
18,0.3055554315003599,0.6776766777038574,0.8822184105202973,0.8665211289568064
19,0.2635228433583164,0.6836928129196167,0.8788398565414003,0.8639222412807318
20,0.2338329201468284,0.6220644116401672,0.9000467799781694,0.8834658766048131
21,0.1997226622046494,0.6674888730049133,0.8999948022246479,0.8841935651541141
22,0.17359091079008934,0.7281521558761597,0.88091896668226,0.866157284682156
23,0.15107451027970972,0.6799278855323792,0.9038411559852383,0.887572119133011
24,0.1389338278835059,0.66813063621521,0.9051405998232757,0.8910546286189511
25,0.11158908544194085,0.6452556252479553,0.9162118613233536,0.9018660013514216
26,0.1020296195012121,0.6745863556861877,0.9119496855345912,0.898643380633089
27,0.08695661343210112,0.7050049304962158,0.9081033317740007,0.8930297832527678
28,0.07498714271276624,0.6900600790977478,0.920162170590987,0.9052445553303187
29,0.06256666416075171,0.7182969450950623,0.9141847289360154,0.8997868912105619
30,0.05610649501728172,0.7419446110725403,0.91330110712615,0.8991631581683039
31,0.04580705017255251,0.6983642578125,0.9209418368938095,0.9064920214148344
32,0.03962977081133421,0.7009871006011963,0.9251520349290504,0.9112219969852903
33,0.033432466873954625,0.7331473231315613,0.9221373252248037,0.9081033317740007
34,0.028098698230939828,0.720869243144989,0.9259836789853942,0.9124174853162846
35,0.02536412112435028,0.741466760635376,0.924684235147357,0.9110140859712044
36,0.019514983262473005,0.746938169002533,0.9266074120276522,0.9120536410416342
37,0.016044862225126768,0.7489748001098633,0.927646967098082,0.9137169291543219
38,0.013393983608338891,0.7582278847694397,0.9270232340558241,0.9137169291543219
39,0.01241792637481276,0.7485888004302979,0.9295701439783772,0.9161598835698321
40,0.01081484184678654,0.7518733739852905,0.9297780549924632,0.9164197723374395
