model,trial,learning_rate,num_train_epochs,weight_decay,warmup_ratio,mean_las,std_las,min_las,max_las,folds
amadeusai/modernJabuticaBERT-Base-1k,3,4.9263783534529467e-05,40,0.1496766408078372,0.43543301938527523,0.8256603148489143,0.012152677659360154,0.8080167163570573,0.8385365601940244,5
amadeusai/modernJabuticaBERT-Base-1k,1,4.624074284210462e-05,40,0.2749016191911278,0.3462195571042849,0.8180811971708202,0.01201477062351185,0.8002734919242479,0.830866699156129,5
amadeusai/modernJabuticaBERT-Base-1k,4,4.124688270504709e-05,40,0.18557957448046303,0.4834143045897379,0.8160037997871686,0.006392266794820778,0.8101101584959421,0.8244543052812476,5
amadeusai/modernJabuticaBERT-Base-1k,7,2.92792088888223e-05,40,0.24058260978065765,0.38855679476646726,0.764761186481849,0.02112294065723418,0.7276312107258249,0.7797059348164004,5
amadeusai/modernJabuticaBERT-Base-1k,2,2.9298928229012235e-05,40,0.12482567857675334,0.35495811617135953,0.7601938507497127,0.02523958547144781,0.717136481391233,0.7799352750809061,5
amadeusai/modernJabuticaBERT-Base-1k,0,2.2076272493378065e-05,40,0.22724207286292505,0.35998885257401414,0.7264101176106716,0.01136578031178995,0.7122142525414108,0.7434553641844964,5
amadeusai/modernJabuticaBERT-Base-1k,6,1.506971134306202e-05,40,0.2627497594404126,0.48497288713311265,0.6900558483470652,0.025080036056443426,0.6461758398856325,0.7070282264306724,5
amadeusai/modernJabuticaBERT-Base-1k,8,1.2696106442806853e-05,40,0.19878446104757272,0.45159834669161075,0.6754329836648229,0.007993913072854917,0.6658837945471255,0.6850456679911244,5
amadeusai/modernJabuticaBERT-Base-1k,9,1.3162609676636067e-05,40,0.1633941432427773,0.35628848630322457,0.6753483745156421,0.0177142830548099,0.649111610333912,0.6973312641514234,5
amadeusai/modernJabuticaBERT-Base-1k,5,1.006470981383726e-05,40,0.20528269695941193,0.35200608677168876,0.6345865008717383,0.010356904391978167,0.6175584601245788,0.6438802248963289,5
