model,trial,learning_rate,num_train_epochs,weight_decay,warmup_ratio,mean_las,std_las,min_las,max_las,folds
amadeusai/modernJabuticaBERT-Base-1k,6,3.504036658120871e-05,40,0.1583486838649066,0.30279577856576295,0.8187187501075744,0.025180386431464266,0.7785337512422598,0.8458035464421095,5
amadeusai/modernJabuticaBERT-Base-1k,3,4.506051656248173e-05,40,0.16810986519845267,0.47342868370202906,0.8089469653072229,0.03419345022046037,0.7697356704912611,0.8391258624669762,5
amadeusai/modernJabuticaBERT-Base-1k,5,3.575619223666949e-05,40,0.1697270353811487,0.3473697441027259,0.7923967164004975,0.03307300047575548,0.753351820286463,0.8320604778368337,5
amadeusai/modernJabuticaBERT-Base-1k,1,2.0223688100787235e-05,40,0.12232144763420004,0.32206621562589255,0.7470850453491353,0.04702388274900238,0.6657493056086435,0.7839155787192321,5
amadeusai/modernJabuticaBERT-Base-1k,7,2.130922592291601e-05,40,0.10544657108938699,0.4492175388418915,0.7023960984465587,0.04847653280100015,0.6280506484223425,0.754969605253033,5
amadeusai/modernJabuticaBERT-Base-1k,2,2.2304538978043466e-05,40,0.2940298623474933,0.46816517957020076,0.6741893549853601,0.06641487603160794,0.5914133856236132,0.7658193756893323,5
amadeusai/modernJabuticaBERT-Base-1k,8,2.03414803045927e-05,40,0.25753155342257994,0.3736918367414308,0.664171887087785,0.04105323724370742,0.6215408965587664,0.7180855156847155,5
amadeusai/modernJabuticaBERT-Base-1k,4,1.317485514348807e-05,40,0.17985507701485307,0.4573336744345228,0.6215140890028774,0.05332309924163369,0.5737909278245605,0.7013876420345243,5
amadeusai/modernJabuticaBERT-Base-1k,9,1.3386661661582908e-05,40,0.25736246296116944,0.4155052004110361,0.5886665907754856,0.061754288527638264,0.5281196646535687,0.6916921024957037,5
amadeusai/modernJabuticaBERT-Base-1k,0,1.0766605545632509e-05,40,0.23306141205164047,0.34483049337062355,0.5607108052781014,0.036098252158585455,0.5089604819769223,0.6062482480952017,5
