config,blocos_ativos,n_blocos,upos_acc,deprel_acc,uas,las
sanity: todos os blocos (== inferência normal),"1,2,3,4,5,6,7,8,9,10,11,12",12,0.9926742108397856,0.974895771292436,0.8983621203097082,0.8870756402620608
APENAS bloco 12,12,1,0.5148600357355568,0.34693269803454435,0.05955926146515783,0.022572960095294817
"APENAS bloco 12, aplicado 12x","12,12,12,12,12,12,12,12,12,12,12,12",12,0.08058368076235854,0.10068493150684932,0.04073853484216796,0.003871351995235259
blocos 11 e 12,"11,12",2,0.44532459797498514,0.2812090530077427,0.05285884455032758,0.014770696843359143
blocos 9 a 12,"9,10,11,12",4,0.6299583085169744,0.48466349017272187,0.08061346039309113,0.04061941631923764
blocos 7 a 12 (pula metade inferior),"7,8,9,10,11,12",6,0.6842763549731984,0.5539904705181655,0.10684931506849316,0.07215604526503872
nenhum bloco (embeddings puras),nenhum (embeddings),0,0.47102441929720074,0.14824300178677785,0.0547945205479452,0.00798094103633115
