model,trial,learning_rate,num_train_epochs,weight_decay,warmup_ratio,mean_las,std_las,min_las,max_las,folds
neuralmind/bert-large-portuguese-cased,0,2.999887859421115e-05,40,0.11648272803187464,0.41728983259499797,0.8873660119521929,0.006817394162149136,0.8808507928421321,0.8968452839886919,5
neuralmind/bert-large-portuguese-cased,4,1.8110744842655728e-05,40,0.14711181807684773,0.30755319315554025,0.8855836207462552,0.009067685283022429,0.8711711137999109,0.8952390131071704,5
neuralmind/bert-large-portuguese-cased,7,1.7052172287967542e-05,40,0.11678184812359077,0.48893328020287435,0.8850842197003163,0.005629720497112684,0.8779987828705038,0.8937291184785402,5
neuralmind/bert-large-portuguese-cased,8,1.6093175500378688e-05,40,0.2947336530836915,0.3854737432122601,0.878929831401542,0.013033330393310096,0.8577023498694517,0.891319712156258,5
neuralmind/bert-large-portuguese-cased,6,1.850099069264743e-05,40,0.12471538589277471,0.30282688467880586,0.8788943270300488,0.016560104526879168,0.8579889193147806,0.8958172706245181,5
neuralmind/bert-large-portuguese-cased,5,1.8278715520081366e-05,40,0.14618247295500642,0.4255357172285754,0.8773937316807098,0.010739484593164584,0.8652610824906188,0.8853085397694708,5
neuralmind/bert-large-portuguese-cased,3,4.904769581101644e-05,40,0.17585592420496235,0.43987884985467796,0.8743954555779656,0.018661207587805467,0.8457355466514024,0.8955602672834747,5
neuralmind/bert-large-portuguese-cased,2,3.89221563547271e-05,40,0.14249188526057993,0.3302426018147926,0.874044961665561,0.020229545802447315,0.8392125734243531,0.8867900282703676,5
neuralmind/bert-large-portuguese-cased,9,4.854130716985181e-05,40,0.1848929722611514,0.48249643231719763,0.8620186398915205,0.016939391562849966,0.8423549640196141,0.8802709406601793,5
neuralmind/bert-large-portuguese-cased,1,3.623497339471112e-05,40,0.21063068095103388,0.45809119238719376,0.8618214103857069,0.025160093577945176,0.8249379889334096,0.8863311636767741,5
