model,trial,learning_rate,num_train_epochs,weight_decay,warmup_ratio,mean_las,std_las,min_las,max_las,folds
google-bert/bert-base-multilingual-cased,1,3.625756168886472e-05,40,0.19673026818206146,0.42050513822312574,0.8850583171681488,0.006380457473286844,0.877179125528914,0.8945189837282329,5
google-bert/bert-base-multilingual-cased,3,3.408184654786323e-05,40,0.12998145882584933,0.39940453475740423,0.88441692921895,0.0062554021408975135,0.8767842031029619,0.8940907793320011,5
google-bert/bert-base-multilingual-cased,2,2.9392772158046296e-05,40,0.21672020010542498,0.49884687089399704,0.8806402006931993,0.0058756427693225114,0.8744710860366713,0.8902940336854125,5
google-bert/bert-base-multilingual-cased,7,2.1024829833915417e-05,40,0.19294170160519497,0.3810001124319655,0.8699623657956164,0.004572368941171053,0.8643159379407617,0.8756208963745361,5
google-bert/bert-base-multilingual-cased,9,2.0785467947842668e-05,40,0.1019914624383293,0.43802217158774276,0.8698780815731142,0.004653527576318999,0.8656699576868829,0.8765629460462461,5
google-bert/bert-base-multilingual-cased,5,1.681331069249239e-05,40,0.13081427086743158,0.34739267639721344,0.8596719066097755,0.004351713444732002,0.8549480343425214,0.865600913502712,5
google-bert/bert-base-multilingual-cased,6,1.6317566538802453e-05,40,0.2408493443147354,0.4620036293904981,0.8575650115365263,0.004750023383989918,0.8525192046995029,0.8642306594347702,5
google-bert/bert-base-multilingual-cased,4,1.5857931432345644e-05,40,0.18294626366154115,0.30583248788708034,0.8557671265117996,0.004519188627775208,0.8511142454160789,0.8609477590636597,5
google-bert/bert-base-multilingual-cased,0,1.5320403926355622e-05,40,0.10884515211522104,0.3895687027831714,0.8543719440834938,0.004343990630259675,0.8494972887483054,0.8595489580359692,5
google-bert/bert-base-multilingual-cased,8,1.2475685823480751e-05,40,0.29229902613933667,0.36627577918909826,0.8398778899022108,0.005863148530141846,0.8338787023977433,0.8464744504710249,5
