model,trial,learning_rate,num_train_epochs,weight_decay,warmup_ratio,mean_las,std_las,min_las,max_las,folds
neuralmind/bert-base-portuguese-cased,4,4.423627211584912e-05,40,0.2143062841617503,0.36745951295566587,0.9086919196752156,0.005914752675594434,0.9005596896266616,0.9138717553328193,5
neuralmind/bert-base-portuguese-cased,0,4.0807625434669885e-05,40,0.28509027016193256,0.4192381240733324,0.9067378955849914,0.0071741722170815215,0.896075812503975,0.914450012850167,5
neuralmind/bert-base-portuguese-cased,8,3.3674001118774815e-05,40,0.272302338351895,0.3110379831998367,0.9054829854062747,0.006857376155245246,0.895916809769128,0.9130364944744281,5
neuralmind/bert-base-portuguese-cased,6,3.873775442498939e-05,40,0.21551093970064328,0.47178421511024765,0.9054737871045399,0.0075455274216758555,0.8947083889842905,0.9136468774094063,5
neuralmind/bert-base-portuguese-cased,7,3.3206399691659944e-05,40,0.22098766920025564,0.34278350993122086,0.9048874130240158,0.005721932540536597,0.8979520447751701,0.911076843998972,5
neuralmind/bert-base-portuguese-cased,3,3.0928937817378394e-05,40,0.10897720504522726,0.4515417367088639,0.902560294850181,0.006050891333404663,0.8950899955479235,0.9097597018761244,5
neuralmind/bert-base-portuguese-cased,9,2.4567284058096354e-05,40,0.18202920724036062,0.3987562561335921,0.8961925649592025,0.00614797210923637,0.8890339425587467,0.9030776150089951,5
neuralmind/bert-base-portuguese-cased,1,1.5208486547845581e-05,40,0.24246737846117117,0.30027612421689537,0.8708618029045956,0.00797583809422597,0.8616506400050946,0.8812644564379337,5
neuralmind/bert-base-portuguese-cased,5,1.4812911013047885e-05,40,0.17776040803425758,0.4697739537953619,0.8694761903419798,0.008027474858006728,0.8594536075909062,0.8796903109740427,5
neuralmind/bert-base-portuguese-cased,2,1.364839339816177e-05,40,0.12621368260292973,0.4524870332227308,0.8634064625647738,0.007811672502691533,0.8544227217729097,0.8730082241069134,5
