config,blocos_ativos,n_blocos,upos_acc,deprel_acc,uas,las
sanity: todos os blocos (== inferência normal),"1,2,3,4,5,6,7,8,9,10,11,12",12,0.9922275163787969,0.9732876712328767,0.9374329958308517,0.9248957712924359
APENAS bloco 12,12,1,0.5375818939845146,0.3797796307325789,0.046605122096486006,0.017123287671232876
"APENAS bloco 12, aplicado 12x","12,12,12,12,12,12,12,12,12,12,12,12",12,0.13201310303752234,0.11700416914830256,0.04353782013103037,0.005002977963073258
blocos 11 e 12,"11,12",2,0.5144431209053008,0.40047647409172127,0.05351399642644431,0.02304943418701608
blocos 9 a 12,"9,10,11,12",4,0.652829064919595,0.49892793329362717,0.08106015485407982,0.04678379988088148
blocos 7 a 12 (pula metade inferior),"7,8,9,10,11,12",6,0.7137581893984515,0.5647409172126265,0.1425253126861227,0.09300178677784396
nenhum bloco (embeddings puras),nenhum (embeddings),0,0.21923764145324598,0.17114353782013103,0.030405002977963072,0.007444907683144729
