config,blocos_ativos,n_blocos,upos_acc,deprel_acc,uas,las
sanity: todos os blocos (== inferência normal),"1,2,3,4,5,6,7,8,9,10,11,12",12,0.9888326384752829,0.9663490172721858,0.9270101250744491,0.91039309112567
APENAS bloco 12,12,1,0.4486896962477665,0.33570577724836215,0.04648600357355569,0.014979154258487195
"APENAS bloco 12, aplicado 12x","12,12,12,12,12,12,12,12,12,12,12,12",12,0.0713222156045265,0.07397260273972603,0.04341870160810006,0.002948183442525313
blocos 11 e 12,"11,12",2,0.41646813579511616,0.33659916617033947,0.057891602144133414,0.021381774865991663
blocos 9 a 12,"9,10,11,12",4,0.471143537820131,0.33525908278737343,0.089249553305539,0.03409767718880286
blocos 7 a 12 (pula metade inferior),"7,8,9,10,11,12",6,0.6000595592614651,0.43987492555092317,0.12144133412745682,0.06756998213222155
nenhum bloco (embeddings puras),nenhum (embeddings),0,0.19889815366289457,0.17242406194163193,0.025670041691483025,0.005985705777248362
