Epoch,Training Loss,Validation Loss,Uas,Las
1,8.215373713795731,6.113919258117676,0.08009771817662041,0.022506367274806382
2,4.986060165777439,3.656616449356079,0.19190186600135142,0.17194240864909818
3,3.2653686192623645,2.515021324157715,0.3156089193825043,0.2990799937626696
4,2.4059296067814193,1.9035921096801758,0.4565725869327928,0.4384323509537918
5,1.8301236119050643,1.5064085721969604,0.5503404542855658,0.5324601070741722
6,1.4469227364392785,1.3015111684799194,0.5966526326732159,0.5793440407505588
7,1.1778288223556064,0.9822288155555725,0.764800665315245,0.7467124070897656
8,0.9683234155339601,0.8901538848876953,0.7816934352097302,0.7612142003222621
9,0.7953038822990769,0.7514318823814392,0.8310723010551484,0.811944487759239
10,0.6945828900427676,0.7934435606002808,0.8076303342169552,0.7908934975830345
11,0.6054935196873942,0.7144798636436462,0.8364779874213837,0.8200010395550704
12,0.5371410504266175,0.7467052340507507,0.8253027704142627,0.8095535110972504
13,0.48383072850503894,0.7125478982925415,0.8374135869847705,0.8208846613649358
14,0.4301196669498433,0.6217876672744751,0.8747336140132024,0.8589843546961901
15,0.38521995647812923,0.6686461567878723,0.8715629710483913,0.855917667238422
16,0.36345500997734587,0.7043246030807495,0.8530588907947398,0.83808929778055
17,0.3475040342749619,0.6610077023506165,0.8758251468371537,0.8576849108581527
18,0.27910688446789256,0.8561874628067017,0.8227038827381881,0.8076303342169552
19,0.24081462250169378,0.6618385314941406,0.88091896668226,0.8658454181610271
20,0.20819449489355735,0.631140947341919,0.8887676074640054,0.8723426373512136
21,0.18018338996866531,0.6107459664344788,0.9126253963303707,0.8976038255626592
22,0.15696542631319868,0.5623438358306885,0.9206299703726805,0.9050366443162327
23,0.12933228655559262,0.5978145003318787,0.9199542595769011,0.9056083996049691
24,0.11269850071852769,0.5683910250663757,0.9298300327459847,0.9152242840064453
25,0.09747386818655784,0.5726439952850342,0.9301938770206352,0.9130931961120641
26,0.08109804479087271,0.623579740524292,0.9236966578304485,0.909610686626124
27,0.06783123068047087,0.6094290614128113,0.9358594521544779,0.9216175476895888
28,0.05968919872914549,0.5608062744140625,0.9415250272883205,0.9272831228234316
29,0.04972579873351224,0.6108424663543701,0.9346639638234836,0.920785903633245
30,0.0411348601343832,0.6039984226226807,0.93871822859816,0.9236966578304485
31,0.029775053505005877,0.6172139048576355,0.9403295389573263,0.9267113675346952
32,0.02363839963587319,0.6176299452781677,0.9453194032953895,0.9315452986121939
33,0.020225969433461423,0.6369953155517578,0.9426685378657934,0.9294661884713342
34,0.015905105001558135,0.6265823245048523,0.9478663132179427,0.9332085867248817
35,0.010594507543052115,0.6580256223678589,0.9455792920629971,0.9318051873798014
36,0.009659606266797073,0.6416261792182922,0.9469826914080773,0.9335724309995322
37,0.0076082082298713,0.6500924229621887,0.9478663132179427,0.9337283642600966
38,0.004905428666732499,0.648605465888977,0.9481262019855502,0.9344040750558761
39,0.003914019279686739,0.6521372199058533,0.9491137793024585,0.9353916523727844
40,0.0034646215800670428,0.6558225154876709,0.9484900462602006,0.934923852591091
