Epoch,Training Loss,Validation Loss,Uas,Las
1,8.150239773882113,6.61971378326416,0.10210487444608567,0.03983567208271787
2,5.6197625550474255,4.416279315948486,0.17609859675036926,0.1522341211225997
3,4.065922930957825,3.2992422580718994,0.24279911373707533,0.22428914327917282
4,3.1709758479420733,2.611412763595581,0.3478581979320532,0.32403988183161003
5,2.545581848640752,2.127528190612793,0.44377769571639586,0.41954394387001476
6,2.0904855288787263,1.7902542352676392,0.5180022156573116,0.4950147710487445
7,1.7454384077532181,1.508040428161621,0.6230612998522895,0.6028895864106352
8,1.4687364366319444,1.4362103939056396,0.5728397341211225,0.5546067208271788
9,1.2548151610666498,1.1810290813446045,0.7160727474150664,0.6945162481536189
10,1.0952075658451896,1.1138331890106201,0.7179652880354506,0.6969165435745938
11,0.9546128353129234,1.0593934059143066,0.7536927621861153,0.7325978581979321
12,0.8486053549500339,1.0089360475540161,0.7646325701624815,0.7441838995568686
13,0.7553020363577659,1.0426945686340332,0.7499076809453471,0.7303360413589365
14,0.6858511823948806,0.9325802326202393,0.8101458641063516,0.7874815361890695
15,0.6378138679152905,0.9848390817642212,0.7823116691285081,0.7606166912850812
16,0.5866091761808732,0.9284586906433105,0.8143463810930576,0.7922359675036927
17,0.5517595906244707,1.0569525957107544,0.7701255539143279,0.7477843426883308
18,0.5113761095496697,1.034414291381836,0.7808807237813885,0.7592780649926145
19,0.44964876665978576,0.8028044104576111,0.8547821270310192,0.8322562776957164
20,0.40406088066617973,0.881222128868103,0.8468426883308715,0.8257477843426884
21,0.3421290534621655,0.8716729283332825,0.8482736336779911,0.8269017725258493
22,0.31644596833846755,0.8498567342758179,0.8673375184638109,0.8478581979320532
23,0.2765177905074949,0.8572033047676086,0.8749538404726735,0.8538589364844904
24,0.2423694269443915,0.86540687084198,0.8703378877400295,0.8486429098966026
25,0.21640438503689235,0.8546974658966064,0.8845550221565731,0.8627215657311669
26,0.18758094601514863,0.808410108089447,0.8926329394387001,0.8710764401772526
27,0.17022867383672616,0.8487752079963684,0.8948947562776958,0.8737998522895125
28,0.1447527608897305,0.8886621594429016,0.8791081979320532,0.859582717872969
29,0.12858043970454353,0.8489997386932373,0.8957717872968981,0.8754154357459379
30,0.1136297520583238,0.8501191735267639,0.8976181683899557,0.8767079025110783
31,0.09586828381711551,0.8557406663894653,0.899326070901034,0.8788774002954209
32,0.08329106669438886,0.8551226258277893,0.9050498522895125,0.8846935007385525
33,0.07194188746010385,0.9196545481681824,0.895864106351551,0.8760155096011817
34,0.06171065746607173,0.8814024329185486,0.9066654357459379,0.8860782865583456
35,0.05353853696083958,0.8670341372489929,0.9092042097488922,0.8900480059084195
36,0.04667262462419546,0.8760054111480713,0.9092965288035451,0.8907403988183161
37,0.03950698718145934,0.8750797510147095,0.9124815361890695,0.8938792466765141
38,0.03256247812493384,0.8935811519622803,0.911281388478582,0.892817577548006
39,0.02964691741033621,0.8880088925361633,0.9135432053175776,0.8945716395864106
40,0.026735835605197482,0.8902615308761597,0.912435376661743,0.8935099704579025
