Epoch,Training Loss,Validation Loss,Uas,Las,Upos
1,5.916663771450825,1.7714162938159757,0.7570788964181994,0.7027468538238142,0.9594022265246854
2,1.1563998480797526,0.9101410755799274,0.8926064859632139,0.8579380445304937,0.9818489835430784
3,0.6723015970269972,0.7140056452599407,0.9188044530493708,0.8918199419167473,0.9832405614714425
4,0.4667489414960949,0.566590769302969,0.9405856727976767,0.9188044530493708,0.9864472410454985
5,0.30508540097069686,0.541331006154519,0.9446999031945789,0.9270329138431752,0.9890488867376573
6,0.22506929155001723,0.5102996560911732,0.9505082284607939,0.9319941916747337,0.9891093901258471
7,0.18259826147658464,0.5300840747696848,0.9512947725072604,0.9356243949661182,0.9889883833494676
8,0.15596775103854163,0.5598223919764752,0.9521418199419167,0.9362294288480155,0.9892909002904162
9,0.1322285182193289,0.5896207931517314,0.9535939012584704,0.9371974830590513,0.9888068731848983
10,0.12064065754040229,0.6155813450835796,0.9513552758954501,0.9359874152952565,0.9896539206195547
11,0.10672204163564868,0.5803765409913668,0.9537149080348499,0.9384075508228461,0.9898959341723137
12,0.09629105777498875,0.6335793092273472,0.9526863504356244,0.9375,0.9899564375605033
13,0.09425585249890002,0.6429527117027779,0.9544409486931268,0.938891577928364,0.9892909002904162
14,0.08563125561535014,0.6556411360869219,0.9555300096805421,0.9401016456921588,0.989593417231365
15,0.07916922615446625,0.6459185670888176,0.9537754114230397,0.9384680542110359,0.9905009680542111
16,0.07647471945814366,0.6616546964418911,0.9540174249757987,0.937742013552759,0.9895329138431752
17,0.06719855828648948,0.6632860383904193,0.9555905130687319,0.9404646660212972,0.9903194578896418
18,0.0660608223743572,0.7028610011037991,0.954864472410455,0.9407066795740562,0.9899564375605033
19,0.06592217130794034,0.6686020563198803,0.9571030977734754,0.9417352371732817,0.9901984511132623
20,0.05850845832733932,0.7098541185692573,0.9548039690222653,0.9395571151984511,0.9905614714424008
21,0.05683306490358128,0.7094904708694973,0.9553484995159729,0.9405856727976767,0.9901379477250726
22,0.0552279385848439,0.7323547548687469,0.9563165537270087,0.9412512100677638,0.9896539206195547
23,0.05292867593009453,0.7099941843311011,0.9550459825750242,0.9395571151984511,0.989351403678606
24,0.05653426070618567,0.7177084393597353,0.9564375605033882,0.9417352371732817,0.9904404646660213
25,0.05359356212073032,0.6790849275594903,0.9580711519845111,0.9447604065827686,0.9902589545014521
26,0.05049369219796725,0.7220956076654206,0.9565585672797676,0.9420377541142304,0.9908034849951597
27,0.04573514852046313,0.724362270223177,0.9575266214908035,0.9427637947725073,0.9903799612778316
28,0.04755196018661479,0.7287520594040197,0.957405614714424,0.9417352371732817,0.9895329138431752
29,0.043077429997523564,0.7345960226202057,0.9584341723136496,0.9427637947725073,0.9897749273959342
30,0.043934607562613026,0.6933478642352437,0.9573451113262342,0.9424007744433688,0.9908034849951597
31,0.04386687711353257,0.7760324882557985,0.9563165537270087,0.9422797676669894,0.9892303969022265
32,0.04536209954062535,0.7252397636115724,0.9563770571151985,0.9424612778315585,0.9900774443368828
33,0.045926894448663214,0.7208475548258305,0.9568610842207164,0.9427032913843175,0.9901379477250726
34,0.045509390985448005,0.7365165661483108,0.95601403678606,0.941432720232333,0.9898959341723137
35,0.041193324652124455,0.76551486250637,0.95601403678606,0.9414932236205228,0.989835430784124
36,0.04010961250983632,0.7651594116389463,0.954864472410455,0.9404646660212972,0.9899564375605033
37,0.03958610361450496,0.7246872069438539,0.9568005808325266,0.942824298160697,0.9910454985479187
