model,trial,learning_rate,num_train_epochs,weight_decay,warmup_ratio,mean_las,std_las,min_las,max_las,folds
google-bert/bert-base-multilingual-cased,8,2.963157703469038e-05,40,0.2375474603771072,0.32784860226175966,0.8332592953605445,0.005840268491010547,0.8263469675599436,0.8414197144644787,5
google-bert/bert-base-multilingual-cased,2,2.7376518966627088e-05,40,0.12499445143109733,0.47255562539398366,0.8322985738053719,0.00366855987878974,0.8270447356529598,0.8367555884193163,5
google-bert/bert-base-multilingual-cased,3,2.0999465643671865e-05,40,0.29558600373490573,0.38355351412758076,0.8316444725106991,0.0035396949196951277,0.826536375960235,0.8363005517319834,5
google-bert/bert-base-multilingual-cased,7,2.075902420493065e-05,40,0.20383850746002175,0.4696460253442683,0.8310312460185436,0.004161917915465065,0.8261127428829643,0.8367555884193163,5
google-bert/bert-base-multilingual-cased,9,4.732203650480718e-05,40,0.1241376884649694,0.30629176228725447,0.8264123270075807,0.0032919349358766364,0.8211985991866245,0.8293612422501564,5
google-bert/bert-base-multilingual-cased,0,1.6270437039520156e-05,40,0.25573313881404847,0.31303224846927463,0.8261045725294979,0.0037187826236278715,0.8218199276999548,0.8306694727262386,5
google-bert/bert-base-multilingual-cased,1,4.836761994937972e-05,40,0.17116090403889375,0.34420391173632325,0.8260667884711141,0.004636837938415988,0.8201410437235543,0.8317786246516126,5
google-bert/bert-base-multilingual-cased,5,1.6634022312209647e-05,40,0.2506222234589798,0.4664285668719603,0.8248347647399765,0.003819140173723258,0.8197017623136015,0.8292474830783232,5
google-bert/bert-base-multilingual-cased,4,1.2643982227708693e-05,40,0.28813802451204074,0.48715798369080887,0.8120103211600481,0.004949051152870217,0.8067253033174016,0.8177276620039966,5
google-bert/bert-base-multilingual-cased,6,1.1812886533380147e-05,40,0.10205992366023908,0.4647828306857637,0.8072045975919266,0.004583411046149501,0.8012952855001555,0.8117898943762489,5
