model,trial,learning_rate,num_train_epochs,weight_decay,warmup_ratio,mean_las,std_las,min_las,max_las,folds
neuralmind/bert-large-portuguese-cased,2,3.755373147243102e-05,40,0.12615267832325944,0.4036975194086722,0.9257131589590646,0.0026243746897157767,0.9226610697704001,0.929034952454382,5
neuralmind/bert-large-portuguese-cased,1,2.9460590890587645e-05,40,0.21496445009180898,0.3492563241670319,0.9250655723364524,0.002478937023837374,0.921961457737073,0.9288421999485993,5
neuralmind/bert-large-portuguese-cased,6,2.5103510006643976e-05,40,0.16961486422679486,0.4324242200222858,0.9249799195144843,0.002817965100909985,0.9226861406572472,0.9296453353893601,5
neuralmind/bert-large-portuguese-cased,7,4.605294609117686e-05,40,0.124523148774155,0.41707497353243284,0.9226526632621962,0.007953666961475748,0.9091140367614323,0.9289580730918292,5
neuralmind/bert-large-portuguese-cased,4,2.0096209452440715e-05,40,0.19816504741752472,0.42372312535913814,0.9221283324618821,0.0030948060453341976,0.9187172567074139,0.9264006682086867,5
neuralmind/bert-large-portuguese-cased,0,1.921129414535638e-05,40,0.16873105303714467,0.46130060622772034,0.920266544386459,0.0038494478430979454,0.9149017363098645,0.9251799023387304,5
neuralmind/bert-large-portuguese-cased,8,1.716449450573004e-05,40,0.23227142250426286,0.40893729781033933,0.9187542455535997,0.0034644416473654078,0.9152833428734974,0.9232523772809047,5
neuralmind/bert-large-portuguese-cased,5,1.5273808753181078e-05,40,0.11046312020143319,0.32885281396386645,0.916199310198618,0.003032649511249622,0.912516695287159,0.9200398355178617,5
neuralmind/bert-large-portuguese-cased,9,1.2838774163624843e-05,40,0.2836948387931215,0.31821001370017715,0.9113807949804379,0.004579389478441021,0.9060611842523691,0.9173413004369056,5
neuralmind/bert-large-portuguese-cased,3,1.0102595982161587e-05,40,0.1736282502218413,0.4338405291496539,0.9017637407538481,0.004515702693500171,0.89738053659311,0.9071575430480596,5
