model,trial,learning_rate,num_train_epochs,weight_decay,warmup_ratio,mean_las,std_las,min_las,max_las,folds
neuralmind/bert-base-portuguese-cased,6,3.122006593110624e-05,40,0.12885507147896566,0.41014432212172464,0.8632571565805245,0.0039156464843508295,0.8578197544997774,0.8687355435620663,5
neuralmind/bert-base-portuguese-cased,2,3.065555594960163e-05,40,0.29621680073219503,0.3561205877465045,0.8625032359273282,0.005635623388430544,0.8542580932392038,0.8697956823438705,5
neuralmind/bert-base-portuguese-cased,5,2.9136172078209717e-05,40,0.2638901421296239,0.40588948584827766,0.8615917368516952,0.004908230628604077,0.8539400877695096,0.8676432793626317,5
neuralmind/bert-base-portuguese-cased,9,3.7248526177908895e-05,40,0.2828281088250081,0.4600821987267434,0.8615104349255542,0.006410421829221575,0.8530814730013356,0.8710164482138267,5
neuralmind/bert-base-portuguese-cased,7,2.307806839959256e-05,40,0.16433361058134044,0.30833037265336233,0.8605822849413265,0.006275796731811619,0.8509826369013547,0.8685427910562837,5
neuralmind/bert-base-portuguese-cased,3,4.6185155285284196e-05,40,0.25940567780217905,0.4844122937980063,0.860179624053577,0.009310675379932989,0.8447497296953508,0.8690567977383706,5
neuralmind/bert-base-portuguese-cased,8,4.750480396651021e-05,40,0.2337788411774893,0.43782074694031603,0.860107291775201,0.0074558135686091575,0.847961584939261,0.8676111539450013,5
neuralmind/bert-base-portuguese-cased,4,2.368358153157427e-05,40,0.10131855320230021,0.4766636890093606,0.8600946471351474,0.005602166018858906,0.8513006423710487,0.8653442017448895,5
neuralmind/bert-base-portuguese-cased,1,1.9152689438775962e-05,40,0.24737876429523203,0.47562160146593546,0.8576025348752248,0.005674800487172364,0.8484385931438021,0.863242097147263,5
neuralmind/bert-base-portuguese-cased,0,1.0736022805464279e-05,40,0.2227360269537907,0.4765008128471058,0.8393507424718468,0.006066278857849256,0.8303758824651783,0.8457016191210486,5
