Epoch,Training Loss,Validation Loss,Uas,Las
1,8.39376773162263,6.4286603927612305,0.08668023424845288,0.025376915728703743
2,5.378833470951897,4.437796592712402,0.1808364829505337,0.14798355276820202
3,3.875140595888381,3.311655044555664,0.2573825642729576,0.23175644806246626
4,2.987792637936145,2.6537439823150635,0.3440212651077792,0.31644307845661834
5,2.3970178123412094,2.231773853302002,0.433027370519583,0.4052830502138971
6,1.972485219236958,1.9946799278259277,0.4559122814304108,0.4289986293973502
7,1.6375547166116193,1.737154483795166,0.5034265066245794,0.47962786061386387
8,1.3570477245299797,1.536454677581787,0.5947169497861029,0.5671802965485734
9,1.1313652720877794,1.4109760522842407,0.6377870997217261,0.6121194500976035
10,0.9535645689098493,1.3141303062438965,0.6673588902271878,0.6417743074303277
11,0.8263512588128811,1.2603085041046143,0.6921128047514226,0.6667358890227187
12,0.7225330218390075,1.2603564262390137,0.6923620052332101,0.667234289986294
13,0.6399150734671409,1.4047797918319702,0.6374132989990448,0.6166881255970428
14,0.5665616911601244,1.2214300632476807,0.6994642189641567,0.6768700419487478
15,0.49530806709434283,1.1583243608474731,0.7443203056859243,0.7188603231299581
16,0.46780374831946564,1.191759705543518,0.7346430203098393,0.710885907712755
17,0.4362183857739456,1.2805227041244507,0.7131702454624745,0.6902022677243843
18,0.3850812627694148,1.0889227390289307,0.7820741786767454,0.756738796361673
19,0.3272967661622417,1.1192840337753296,0.7645055447107197,0.7397931636001163
20,0.29340685092336766,0.9978181719779968,0.8216970552809736,0.7993520787473523
21,0.2359952849101245,1.0286411046981812,0.8187897163267849,0.7958632720023259
22,0.18753225435086382,1.001491665840149,0.8405532250695684,0.8175852473314782
23,0.1577330178361598,1.050212025642395,0.8320388752751589,0.8084478963325996
24,0.12958298143009506,1.0696650743484497,0.8402624911741496,0.8176267807451094
25,0.09541397301485222,1.049261212348938,0.8395979565560493,0.818332848776841
26,0.07878764599642456,1.0585999488830566,0.8498567097229721,0.828010134152926
27,0.05790414267439183,1.0427592992782593,0.8556298542177182,0.8334925447522532
28,0.04124822590732316,1.0491012334823608,0.858412592931013,0.8376458861153798
29,0.0340840590355519,1.0683085918426514,0.8611953316443078,0.8404286248286746
30,0.022674555377908516,1.088302493095398,0.8553806537359305,0.8340740125430909
31,0.01673788882206449,1.0935250520706177,0.859658595339951,0.8384350209743738
32,0.010977786407884221,1.1520280838012695,0.8558790546995058,0.8363168168791792
33,0.006988083443990568,1.1155447959899902,0.862150600157827,0.8426298957511318
34,0.004809691977048631,1.1396697759628296,0.8644349379075467,0.8431698301283382
35,0.0035178535352877486,1.137360692024231,0.8664285417618474,0.8459110354280018
36,0.0027939472095106998,1.1464394330978394,0.8649748722847531,0.843917431573701
37,0.0021583765825928065,1.1615166664123535,0.8664285417618474,0.8457033683598455
38,0.0019225654240223127,1.1627874374389648,0.867923744652573,0.8469078373551522
39,0.0017063249417436802,1.1644999980926514,0.8674253436889978,0.846866303941521
40,0.0015581266343755128,1.1680914163589478,0.8675084105162604,0.8469078373551522
