config,upos_layer,deprel_layer,head_layer,upos_acc,deprel_acc,uas,las
baseline: tudo na camada final (12),12,12,12,0.9926742108397856,0.974895771292436,0.8983621203097082,0.8870756402620608
early exit na camada 11,11,11,11,0.9919594997022037,0.9540798094103633,0.8555390113162596,0.8430911256700417
early exit na camada 10,10,10,10,0.991304347826087,0.936212030970816,0.7794818344252531,0.7665276950565812
early exit na camada 9,9,9,9,0.9888028588445503,0.8946992257296009,0.5711137581893985,0.5539011316259679
early exit na camada 8,8,8,8,0.9829064919594998,0.809410363311495,0.39368671828469326,0.3624776652769506
