upos_acc,deprel_acc,uas,las,family,layer,seed
0.9902620607504466,0.9022930315664086,0.2754020250148898,0.2615842763549732,linear,10,0
0.9904109589041096,0.9024121500893388,0.2755807027992853,0.26238832638475285,linear,10,1
0.990172721858249,0.9025014889815366,0.2755807027992853,0.2622989874925551,linear,10,2
0.9897855866587254,0.9064621798689696,0.4976771888028588,0.4799583085169744,biaffine,10,0
0.9899642644431209,0.9054794520547945,0.4917212626563431,0.47537224538415723,biaffine,10,1
0.9899642644431209,0.9076831447290054,0.4943716497915426,0.47736748064324,biaffine,10,2
0.9933591423466349,0.9752829064919595,0.34341870160810006,0.3384455032757594,linear,18,0
0.9933591423466349,0.9746277546158427,0.34341870160810006,0.33835616438356164,linear,18,1
0.9932995830851697,0.9751042287075641,0.34484812388326386,0.3398451459201906,linear,18,2
0.9932400238237046,0.9745384157236451,0.8942823108993448,0.8837701012507445,biaffine,18,0
0.9932698034544372,0.9743895175699822,0.8936569386539607,0.8818642048838594,biaffine,18,1
0.9933293627159023,0.9751935675997617,0.8938653960690888,0.8828767123287671,biaffine,18,2
0.9933889219773675,0.9768314472900536,0.30458606313281716,0.3005360333531864,linear,23,0
0.9934187016081001,0.9766527695056582,0.30470518165574745,0.30065515187611674,linear,23,1
0.9934187016081001,0.9769207861822513,0.30327575938058365,0.2995830851697439,linear,23,2
0.9932995830851697,0.9761167361524717,0.9117033948779035,0.9005360333531864,biaffine,23,0
0.9932995830851697,0.9762656343061346,0.9098570577724836,0.8988981536628946,biaffine,23,1
0.9932698034544372,0.9757296009529481,0.9115842763549732,0.9001786777843954,biaffine,23,2
0.9935080405002978,0.9768612269207861,0.3007444907683145,0.29666468135795115,linear,24,0
0.9934782608695653,0.9768314472900536,0.2987492555092317,0.29526503871351995,linear,24,1
0.9933889219773675,0.9769803454437165,0.2994639666468136,0.29571173317450866,linear,24,2
0.9934187016081001,0.9765634306134604,0.9117331745086361,0.900714711137582,biaffine,24,0
0.9934484812388327,0.9766229898749256,0.9127159023228112,0.901697438951757,biaffine,24,1
0.9933293627159023,0.9766229898749256,0.9128945801072067,0.902263251935676,biaffine,24,2
