layer,seed,upos_acc
2,0,0.9692971706390381
2,1,0.9694758653640747
2,2,0.9695354104042053
3,0,0.9834722876548767
3,1,0.9837403297424316
3,2,0.9834127426147461
4,0,0.987373411655426
4,1,0.9870458245277405
4,2,0.9871054291725159
5,0,0.9902322888374329
5,1,0.9902024865150452
5,2,0.9905598759651184
6,0,0.991572380065918
6,1,0.9912745356559753
6,2,0.991572380065918
12,0,0.9921977519989014
12,1,0.9922274947166443
12,2,0.9921977519989014
